age,race,sex,priors_count,c_charge_degree,c_charge_desc,juv_fel_count,juv_misd_count,juv_other_count,two_year_recid,decile_score,score_text,charge_degree,sex_male
24,Caucasian,Male,8,F,False Ownership Info/Pawn Item,0,1,2,1,6,Medium,1,1
30,Caucasian,Male,0,F,Possession Of Methamphetamine,0,0,0,0,4,Low,1,1
31,Caucasian,Male,0,M,Battery,0,0,0,0,5,Medium,0,1
39,Caucasian,Female,1,F,Possession of Morphine,0,0,0,0,4,Low,1,0
43,Caucasian,Male,1,F,Possession of Cocaine,0,0,0,0,1,Low,1,1
21,African-American,Male,3,F,Grand Theft in the 3rd Degree,0,0,0,1,9,High,1,1
38,Caucasian,Male,5,M,Possess Cannabis/20 Grams Or Less,0,0,0,1,4,Low,0,1
34,Caucasian,Male,0,F,Aggravated Assault w/Firearm,0,0,0,0,5,Medium,1,1
33,African-American,Male,5,F,Poss Contr Subst W/o Prescript,0,0,0,1,5,Medium,1,1
37,African-American,Male,3,F,"Poss3,4 Methylenedioxymethcath",0,0,0,0,2,Low,1,1
42,Caucasian,Male,1,F,Aggrav Stalking After Injunctn,0,0,0,1,2,Low,1,1
41,African-American,Male,10,F,Possession of Cocaine,0,1,0,1,9,High,1,1
22,African-American,Male,0,F,Uttering a Forged Instrument,0,0,0,1,4,Low,1,1
33,African-American,Male,28,F,Driving While License Revoked,0,12,2,1,8,High,1,1
31,African-American,Male,1,M,Battery,0,0,0,0,7,Medium,0,1
30,Other,Female,1,F,Crim Use of Personal ID Info,0,0,0,0,2,Low,1,0
31,Caucasian,Male,13,F,arrest case no charge,0,0,0,1,10,High,1,1
27,African-American,Male,3,F,Possession of Cocaine,0,0,0,1,9,High,1,1
52,Caucasian,Male,3,M,Battery,0,0,0,0,9,High,0,1
33,African-American,Male,19,F,arrest case no charge,0,0,0,1,10,High,1,1
42,Caucasian,Male,6,F,Possession Of Alprazolam,0,0,0,0,3,Low,1,1
25,Caucasian,Female,2,F,arrest case no charge,0,0,0,0,4,Low,1,0
30,Caucasian,Male,1,M,Agg Fleeing and Eluding,0,0,0,0,2,Low,0,1
37,Other,Female,2,M,Petit Theft,0,0,0,0,2,Low,0,0
28,Caucasian,Male,0,M,Disorderly Intoxication,0,0,0,1,2,Low,0,1
24,African-American,Female,0,M,Battery,0,0,0,0,2,Low,0,0
29,Caucasian,Female,10,F,Grand Theft in the 3rd Degree,0,1,0,1,4,Low,1,0
44,Caucasian,Male,2,M,Battery,0,0,0,1,2,Low,0,1
32,African-American,Male,3,F,Possession of Cocaine,0,0,0,1,7,Medium,1,1
31,Caucasian,Male,2,M,Resist/Obstruct W/O Violence,0,0,0,1,3,Low,0,1
31,African-American,Male,1,M,Lewdness Violation,0,0,0,0,2,Low,0,1
59,Caucasian,Male,1,F,Possession of Cocaine,0,0,0,1,2,Low,1,1
20,African-American,Female,1,F,arrest case no charge,1,0,0,0,10,High,1,0
43,Caucasian,Female,0,M,DUI Level 0.15 Or Minor In Veh,0,0,0,0,1,Low,0,0
38,African-American,Male,9,F,Possession of Cocaine,1,1,0,1,8,High,1,1
32,African-American,Male,11,F,Poss Pyrrolidinovalerophenone,0,0,0,1,6,Medium,1,1
33,African-American,Male,8,M,Assault,0,0,0,1,5,Medium,0,1
31,African-American,Female,0,F,Possession of Oxycodone,0,0,0,1,3,Low,1,0
33,African-American,Female,7,F,Possession of Cocaine,0,0,0,1,9,High,1,0
27,African-American,Male,2,F,Tampering With Physical Evidence,0,0,0,1,9,High,1,1
20,African-American,Female,0,F,Grand Theft in the 3rd Degree,0,0,0,0,6,Medium,1,0
26,Caucasian,Female,0,M,Fail To Obey Police Officer,0,0,0,0,6,Medium,0,0
61,African-American,Female,1,F,Solicit Purchase Cocaine,0,0,0,1,1,Low,1,0
52,Other,Male,13,F,Felony Petit Theft,0,0,0,1,7,Medium,1,1
63,Hispanic,Male,1,F,arrest case no charge,0,0,0,0,1,Low,1,1
32,African-American,Female,4,F,arrest case no charge,0,0,0,1,10,High,1,0
29,Hispanic,Male,1,F,Grand Theft in the 3rd Degree,0,0,0,0,4,Low,1,1
26,African-American,Female,2,M,Driving Under The Influence,0,0,0,1,4,Low,0,0
39,Caucasian,Male,1,M,,1,0,0,0,4,Low,0,1
30,Caucasian,Female,3,F,Possession Of Carisoprodol,0,0,0,1,7,Medium,1,0
30,African-American,Male,1,F,Burglary Conveyance Assault/Bat,0,0,0,0,7,Medium,1,1
48,Caucasian,Male,2,M,Battery,0,0,0,0,2,Low,0,1
22,African-American,Male,1,F,arrest case no charge,0,0,0,0,2,Low,1,1
46,Caucasian,Male,6,F,Driving While License Revoked,0,0,0,1,1,Low,1,1
31,Caucasian,Male,0,F,"Deliver 3,4 Methylenediox",0,0,0,0,5,Medium,1,1
25,African-American,Male,1,M,Battery,0,0,0,1,2,Low,0,1
23,Hispanic,Male,0,F,"Poss3,4 Methylenedioxymethcath",0,0,0,0,3,Low,1,1
32,African-American,Female,5,F,Aggravated Assault W/dead Weap,0,0,0,0,7,Medium,1,0
52,Hispanic,Male,2,M,Leave Acc/Attend Veh/More $50,0,0,0,0,1,Low,0,1
62,African-American,Male,8,F,Possession of Cocaine,0,0,0,0,4,Low,1,1
31,Hispanic,Male,8,F,arrest case no charge,0,0,0,1,9,High,1,1
28,African-American,Male,6,M,Resist/Obstruct W/O Violence,0,0,0,1,6,Medium,0,1
54,Hispanic,Male,2,F,Burglary Unoccupied Dwelling,0,0,0,0,1,Low,1,1
58,Hispanic,Male,0,F,Possession Of Heroin,0,0,0,0,2,Low,1,1
78,Caucasian,Male,1,M,Driving Under The Influence,0,0,0,1,1,Low,0,1
56,Caucasian,Male,0,F,Possession of Cocaine,0,0,0,0,1,Low,1,1
24,Other,Male,0,F,Burglary Unoccupied Dwelling,0,0,0,0,2,Low,1,1
22,African-American,Male,1,F,Pos Cannabis W/Intent Sel/Del,0,0,0,1,5,Medium,1,1
47,African-American,Male,23,M,Possess Cannabis/20 Grams Or Less,0,0,0,1,8,High,0,1
23,African-American,Male,0,M,Battery,0,0,0,1,2,Low,0,1
57,Hispanic,Male,1,F,Driving While License Revoked,0,0,0,0,1,Low,1,1
66,African-American,Male,3,F,Agg Battery Grt/Bod/Harm,0,0,0,0,1,Low,1,1
45,Caucasian,Male,8,M,Viol Injunct Domestic Violence,0,0,0,1,4,Low,0,1
37,African-American,Male,2,M,Battery,0,0,0,1,9,High,0,1
39,Caucasian,Male,0,F,Possession Of Methamphetamine,0,0,0,1,4,Low,1,1
26,African-American,Male,9,F,Deliver Cocaine,0,0,0,1,9,High,1,1
45,Caucasian,Male,2,F,Lewd or Lascivious Molestation,0,0,0,0,3,Low,1,1
23,African-American,Male,0,F,Possession of Cannabis,0,0,0,1,3,Low,1,1
34,African-American,Male,2,M,Battery,0,0,0,0,2,Low,0,1
23,African-American,Female,1,M,Battery,0,0,0,0,4,Low,0,0
36,Other,Male,2,M,Battery,0,0,0,1,3,Low,0,1
50,Caucasian,Male,1,F,Sexual Performance by a Child,0,0,0,0,1,Low,1,1
37,Caucasian,Female,0,M,Leaving Acc/Unattended Veh,0,0,0,0,3,Low,0,0
44,Caucasian,Male,4,M,Battery,0,0,0,0,4,Low,0,1
35,African-American,Female,23,F,Felony Petit Theft,0,1,0,1,9,High,1,0
24,Other,Male,5,F,arrest case no charge,0,0,0,1,5,Medium,1,1
26,African-American,Male,2,F,Fleeing Or Attmp Eluding A Leo,0,0,0,1,10,High,1,1
27,African-American,Male,0,M,Criminal Mischief,0,0,0,0,2,Low,0,1
28,African-American,Female,0,F,Aggrav Battery w/Deadly Weapon,0,0,0,0,8,High,1,0
28,Caucasian,Female,7,F,Felony Petit Theft,0,0,0,1,9,High,1,0
38,African-American,Male,2,F,Driving While License Revoked,0,0,0,0,1,Low,1,1
28,African-American,Female,1,F,arrest case no charge,0,0,0,0,9,High,1,0
56,Caucasian,Male,7,F,Felony Driving While Lic Suspd,0,0,0,1,1,Low,1,1
38,African-American,Male,15,F,Possession of Cocaine,0,0,0,0,9,High,1,1
28,African-American,Male,2,M,Possess Cannabis/20 Grams Or Less,0,0,0,0,5,Medium,0,1
51,Caucasian,Female,0,M,Driving Under The Influence,0,0,0,1,1,Low,0,0
51,Caucasian,Male,0,M,Battery,0,0,0,0,2,Low,0,1
36,Other,Male,1,M,Possess Cannabis/20 Grams Or Less,0,0,0,1,1,Low,0,1
48,African-American,Male,0,F,Aggravated Battery (Firearm/Actual Possession),0,0,0,0,1,Low,1,1
37,Caucasian,Male,4,F,arrest case no charge,0,0,0,1,3,Low,1,1
30,African-American,Female,2,F,Grand Theft in the 3rd Degree,0,0,0,0,7,Medium,1,0
41,African-American,Female,5,M,Battery,0,0,0,0,6,Medium,0,0
27,African-American,Male,11,F,Robbery / No Weapon,0,0,0,1,10,High,1,1
37,African-American,Male,0,M,Battery,0,0,0,0,1,Low,0,1
33,Other,Male,4,F,Aggravated Assault w/Firearm,0,0,0,1,4,Low,1,1
54,African-American,Male,11,F,Grand Theft (Motor Vehicle),0,0,0,0,9,High,1,1
23,African-American,Male,2,F,Robbery / Weapon,0,0,0,0,9,High,1,1
41,African-American,Male,0,M,Battery,0,0,0,0,1,Low,0,1
52,Caucasian,Male,0,F,Burglary With Assault/battery,0,0,0,0,1,Low,1,1
43,Caucasian,Male,13,F,Driving While License Revoked,0,0,0,1,4,Low,1,1
52,African-American,Male,0,F,Uttering a Forged Instrument,0,0,0,0,4,Low,1,1
28,Caucasian,Male,1,F,arrest case no charge,0,0,0,0,1,Low,1,1
30,African-American,Male,11,M,Battery,0,0,2,1,9,High,0,1
28,Caucasian,Male,1,F,Criminal Mischief,0,0,0,0,5,Medium,1,1
22,African-American,Male,0,F,Pos Cannabis W/Intent Sel/Del,0,0,0,0,4,Low,1,1
30,African-American,Male,4,F,Driving While License Revoked,0,0,0,0,2,Low,1,1
25,Hispanic,Male,4,F,Possession of Cannabis,0,0,0,0,4,Low,1,1
31,Caucasian,Male,0,F,Burglary Unoccupied Dwelling,0,0,0,1,8,High,1,1
37,Caucasian,Male,0,F,Grand Theft in the 3rd Degree,0,0,0,1,2,Low,1,1
32,African-American,Male,14,F,Aggravated Battery / Pregnant,0,1,0,0,9,High,1,1
53,Caucasian,Male,1,M,Battery,0,0,0,0,1,Low,0,1
28,African-American,Male,25,F,arrest case no charge,0,0,0,1,8,High,1,1
44,Caucasian,Male,8,M,Battery,0,0,0,1,5,Medium,0,1
25,African-American,Male,0,F,Grand Theft in the 3rd Degree,0,0,0,0,3,Low,1,1
22,Caucasian,Male,1,M,Voyeurism,0,0,1,1,8,High,0,1
37,Other,Female,0,M,Battery,0,0,0,0,1,Low,0,0
40,Other,Female,3,F,Driving While License Revoked,0,0,0,0,2,Low,1,0
31,Hispanic,Female,0,M,Battery,0,0,0,0,2,Low,0,0
23,Hispanic,Male,1,F,arrest case no charge,0,0,1,1,6,Medium,1,1
23,Caucasian,Female,5,F,arrest case no charge,0,0,4,1,5,Medium,1,0
24,Hispanic,Male,0,M,Possess Cannabis/20 Grams Or Less,0,0,0,0,8,High,0,1
29,African-American,Male,1,M,Battery,0,0,0,0,3,Low,0,1
20,African-American,Male,1,F,Carrying Concealed Firearm,0,0,0,1,8,High,1,1
30,African-American,Male,2,F,Carrying Concealed Firearm,0,0,0,1,6,Medium,1,1
39,Other,Male,0,F,Throw In Occupied Dwell,0,0,0,0,1,Low,1,1
27,African-American,Male,4,F,arrest case no charge,0,0,0,0,4,Low,1,1
37,African-American,Female,2,F,arrest case no charge,0,0,0,0,1,Low,1,0
20,African-American,Male,0,F,Possession Burglary Tools,0,0,0,0,8,High,1,1
22,Hispanic,Male,0,F,"Poss3,4 Methylenedioxymethcath",0,0,1,0,7,Medium,1,1
52,African-American,Female,0,F,Burglary Conveyance Unoccup,0,0,0,0,1,Low,1,0
23,African-American,Female,0,F,Carrying Concealed Firearm,0,0,0,1,4,Low,1,0
48,African-American,Female,0,F,Aggravated Assault W/Dead Weap,0,0,0,0,2,Low,1,0
25,Caucasian,Male,0,F,"Deliver 3,4 Methylenediox",0,0,0,0,5,Medium,1,1
27,Caucasian,Male,0,F,Grand Theft in the 3rd Degree,0,0,0,1,6,Medium,1,1
30,African-American,Male,11,F,Unauth Poss ID Card or DL,0,0,0,1,7,Medium,1,1
22,African-American,Male,3,M,Battery,0,1,1,1,10,High,0,1
22,Caucasian,Female,1,F,Pos Cannabis W/Intent Sel/Del,0,0,0,0,3,Low,1,0
41,African-American,Female,2,M,Battery on Law Enforc Officer,0,0,0,0,3,Low,0,0
25,Other,Female,0,F,Aggravated Assault W/Dead Weap,0,0,0,0,2,Low,1,0
52,African-American,Male,3,F,Possession of Cocaine,0,0,0,1,6,Medium,1,1
43,African-American,Male,0,F,Felony Battery (Dom Strang),0,0,0,0,1,Low,1,1
37,Caucasian,Male,3,F,arrest case no charge,0,0,0,0,1,Low,1,1
70,Caucasian,Male,1,M,Battery,0,0,0,0,1,Low,0,1
46,Caucasian,Male,3,F,arrest case no charge,0,0,0,0,4,Low,1,1
21,African-American,Male,0,M,Petit Theft,0,0,0,1,9,High,0,1
26,African-American,Male,1,M,Battery,0,0,0,1,8,High,0,1
38,Hispanic,Male,3,F,Crim Use of Personal ID Info,0,0,0,1,1,Low,1,1
34,Caucasian,Male,5,M,Battery,0,0,0,0,4,Low,0,1
34,African-American,Male,5,M,Driving License Suspended,0,0,0,0,4,Low,0,1
23,Caucasian,Male,0,F,Aggravated Assault W/Dead Weap,0,0,0,1,5,Medium,1,1
34,African-American,Male,5,F,Possession of Oxycodone,0,0,0,1,4,Low,1,1
39,African-American,Male,6,F,Aggravated Battery / Pregnant,0,0,0,1,3,Low,1,1
24,Other,Male,0,F,Failure To Return Hired Vehicle,0,0,0,0,3,Low,1,1
58,Caucasian,Male,2,F,Agg Fleeing/Eluding High Speed,0,0,0,0,3,Low,1,1
21,African-American,Female,0,M,Battery,0,0,0,0,6,Medium,0,0
23,African-American,Male,4,M,Possess Cannabis/20 Grams Or Less,0,0,1,1,8,High,0,1
62,Caucasian,Male,0,F,False Imprisonment,0,0,0,0,1,Low,1,1
37,Caucasian,Male,5,F,Battery on Law Enforc Officer,0,0,0,0,3,Low,1,1
43,Other,Male,2,F,Grand Theft in the 3rd Degree,0,0,0,1,2,Low,1,1
32,African-American,Female,5,F,Aggrav Battery w/Deadly Weapon,0,0,0,0,1,Low,1,0
23,Hispanic,Male,0,F,Burglary Conveyance Unoccup,0,0,0,0,3,Low,1,1
27,African-American,Male,0,M,Battery,0,0,0,0,1,Low,0,1
44,Caucasian,Male,0,M,Battery,0,0,0,1,1,Low,0,1
28,Caucasian,Male,3,M,Battery,0,0,0,1,3,Low,0,1
42,Caucasian,Female,0,F,Possession of Cocaine,0,0,0,0,2,Low,1,0
24,Other,Male,9,F,Resist Officer w/Violence,0,1,0,1,10,High,1,1
27,African-American,Male,0,F,Aggrav Battery w/Deadly Weapon,0,0,0,0,2,Low,1,1
20,African-American,Male,0,F,Grand Theft (Motor Vehicle),0,0,0,1,10,High,1,1
51,Caucasian,Female,0,M,Battery on Law Enforc Officer,0,0,0,0,1,Low,0,0
56,Caucasian,Male,0,M,Battery On Parking Enfor Speci,0,0,0,0,1,Low,0,1
29,African-American,Male,7,F,arrest case no charge,0,0,0,0,9,High,1,1
20,African-American,Male,0,F,Grand Theft in the 3rd Degree,0,0,0,1,9,High,1,1
27,Caucasian,Male,8,F,arrest case no charge,0,0,0,0,5,Medium,1,1
24,African-American,Male,2,F,Burglary Structure Unoccup,0,1,0,1,9,High,1,1
53,Caucasian,Male,36,F,Corrupt Public Servant,0,0,0,1,6,Medium,1,1
28,Caucasian,Male,2,M,Battery,0,0,0,1,3,Low,0,1
21,Hispanic,Male,3,F,Grand Theft in the 3rd Degree,0,1,0,0,5,Medium,1,1
36,African-American,Female,0,F,Aggrav Battery w/Deadly Weapon,0,0,0,0,7,Medium,1,0
25,Caucasian,Female,2,M,Petit Theft,0,0,0,1,4,Low,0,0
23,Hispanic,Female,1,M,Operating W/O Valid License,0,0,0,0,3,Low,0,0
28,Caucasian,Male,1,F,Pos Cannabis W/Intent Sel/Del,0,0,0,0,5,Medium,1,1
21,African-American,Female,0,F,Robbery Sudd Snatch No Weapon,0,0,0,1,8,High,1,0
36,Caucasian,Male,0,M,Viol Injunct Domestic Violence,0,0,0,0,3,Low,0,1
24,African-American,Male,0,F,Grand Theft in the 3rd Degree,0,0,0,0,3,Low,1,1
30,Other,Male,1,F,arrest case no charge,0,0,0,1,2,Low,1,1
29,African-American,Male,0,F,Aggravated Assault W/Dead Weap,0,0,0,0,1,Low,1,1
30,Caucasian,Female,0,M,Battery,0,0,0,0,6,Medium,0,0
51,Hispanic,Male,1,M,Assault,0,0,0,0,1,Low,0,1
32,African-American,Male,12,F,arrest case no charge,0,1,0,1,9,High,1,1
23,African-American,Male,1,F,Grand Theft in the 3rd Degree,0,0,1,0,6,Medium,1,1
47,African-American,Male,3,F,Possession Burglary Tools,0,0,0,0,3,Low,1,1
37,Caucasian,Male,0,F,Forging Bank Bills/Promis Note,0,0,0,0,1,Low,1,1
19,African-American,Male,2,F,Poss Pyrrolidinovalerophenone,0,2,0,1,10,High,1,1
27,Hispanic,Male,0,M,Battery,0,0,0,0,8,High,0,1
39,Other,Male,0,M,Battery,0,0,0,0,1,Low,0,1
21,Caucasian,Female,0,F,Possession of Cocaine,0,0,2,0,6,Medium,1,0
69,Caucasian,Male,0,M,Aggravated Assault W/dead Weap,0,0,0,0,1,Low,0,1
21,Caucasian,Male,2,F,arrest case no charge,0,0,0,0,6,Medium,1,1
26,African-American,Male,6,M,Battery,0,0,1,1,10,High,0,1
22,Caucasian,Male,0,F,Possession of Cocaine,0,0,0,0,4,Low,1,1
23,African-American,Female,0,F,Driving While License Revoked,0,0,0,1,5,Medium,1,0
49,African-American,Male,3,F,Grand Theft (Motor Vehicle),0,0,0,0,5,Medium,1,1
29,African-American,Male,2,M,Battery,0,0,1,0,4,Low,0,1
60,Caucasian,Female,0,M,Battery,0,0,0,0,1,Low,0,0
23,African-American,Male,3,F,"Poss3,4 Methylenedioxymethcath",2,0,0,1,10,High,1,1
20,Other,Female,1,F,arrest case no charge,1,0,0,0,4,Low,1,0
36,Hispanic,Male,1,F,Felony/Driving Under Influence,0,0,0,0,3,Low,1,1
30,Caucasian,Male,0,F,Possession of Cocaine,0,0,0,0,4,Low,1,1
21,African-American,Male,1,F,Grand Theft in the 3rd Degree,0,1,0,0,3,Low,1,1
22,Caucasian,Male,2,M,Possess Cannabis/20 Grams Or Less,0,0,0,1,6,Medium,0,1
21,African-American,Male,4,F,arrest case no charge,0,0,0,1,9,High,1,1
21,African-American,Male,0,F,Burglary Structure Unoccup,0,0,0,1,5,Medium,1,1
34,Caucasian,Male,1,M,Battery,0,0,0,0,1,Low,0,1
50,Caucasian,Female,1,M,Battery,0,0,0,1,1,Low,0,0
40,Caucasian,Male,0,F,arrest case no charge,0,0,0,1,7,Medium,1,1
25,African-American,Male,7,F,Tamper With Witness/Victim/CI,0,0,0,1,8,High,1,1
53,Caucasian,Female,1,M,Battery,0,0,0,0,1,Low,0,0
24,African-American,Female,0,F,Aggravated Assault W/Dead Weap,0,0,0,0,4,Low,1,0
42,African-American,Male,1,F,arrest case no charge,0,0,0,0,1,Low,1,1
28,African-American,Male,1,M,Battery,0,0,0,0,3,Low,0,1
26,African-American,Male,6,F,Robbery / No Weapon,1,1,0,1,8,High,1,1
22,African-American,Male,4,F,Grand Theft in the 3rd Degree,0,0,0,1,9,High,1,1
21,Caucasian,Male,3,M,arrest case no charge,0,0,0,0,7,Medium,0,1
37,African-American,Male,23,F,Battery on Law Enforc Officer,0,0,0,1,9,High,1,1
35,African-American,Male,2,F,Possession of Cannabis,0,0,0,0,5,Medium,1,1
53,African-American,Male,2,F,Felony Driving While Lic Suspd,0,0,0,0,1,Low,1,1
29,African-American,Male,7,F,Possession of Cocaine,0,0,0,0,4,Low,1,1
48,Caucasian,Male,23,F,Felony Petit Theft,1,0,0,1,8,High,1,1
52,Caucasian,Female,0,M,Battery,0,0,0,0,1,Low,0,0
